date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:32	152/152	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2269b51d75-e3%22	https://dpboss.boston/robots.txt		(from )
02:10:32	188711/188711	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:32%20GMT	https://dpboss.boston/	dpboss.boston/index.html	(from )
02:10:32	5315/5315	---M--	200	added ('OK')	image/png	etag:%2269b51d75-14c3%22	https://dpboss.boston/newfev/apple-icon-57x57.png	dpboss.boston/newfev/apple-icon-57x57.png	(from https://dpboss.boston/)
02:10:33	5660/5660	---M--	200	added ('OK')	image/png	etag:%2269b51d75-161c%22	https://dpboss.boston/newfev/apple-icon-60x60.png	dpboss.boston/newfev/apple-icon-60x60.png	(from https://dpboss.boston/)
02:10:34	7024/7024	---M--	200	added ('OK')	image/png	etag:%2269b51d75-1b70%22	https://dpboss.boston/newfev/apple-icon-72x72.png	dpboss.boston/newfev/apple-icon-72x72.png	(from https://dpboss.boston/)
02:10:35	7463/7463	---M--	200	added ('OK')	image/png	etag:%2269b51d75-1d27%22	https://dpboss.boston/newfev/apple-icon-76x76.png	dpboss.boston/newfev/apple-icon-76x76.png	(from https://dpboss.boston/)
02:10:36	12757/12757	---M--	200	added ('OK')	image/png	etag:%2269b51d75-31d5%22	https://dpboss.boston/newfev/apple-icon-114x114.png	dpboss.boston/newfev/apple-icon-114x114.png	(from https://dpboss.boston/)
02:10:37	13720/13720	---M--	200	added ('OK')	image/png	etag:%2269b51d75-3598%22	https://dpboss.boston/newfev/apple-icon-120x120.png	dpboss.boston/newfev/apple-icon-120x120.png	(from https://dpboss.boston/)
02:10:39	79206/79206	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:39%20GMT	https://dpboss.boston/jodi-chart-record/kalyan-morning.php	dpboss.boston/jodi-chart-record/kalyan-morning.html	(from https://dpboss.boston/)
02:10:40	133113/133113	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:40%20GMT	https://dpboss.boston/panel-chart-record/kalyan-morning.php	dpboss.boston/panel-chart-record/kalyan-morning.html	(from https://dpboss.boston/)
02:10:41	77402/77402	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:41%20GMT	https://dpboss.boston/jodi-chart-record/milan-morning.php	dpboss.boston/jodi-chart-record/milan-morning.html	(from https://dpboss.boston/)
02:10:42	272414/272414	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:42%20GMT	https://dpboss.boston/panel-chart-record/milan-morning.php	dpboss.boston/panel-chart-record/milan-morning.html	(from https://dpboss.boston/)
02:10:43	105711/105711	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:43%20GMT	https://dpboss.boston/jodi-chart-record/sridevi.php	dpboss.boston/jodi-chart-record/sridevi.html	(from https://dpboss.boston/)
02:10:44	200038/200038	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:44%20GMT	https://dpboss.boston/panel-chart-record/sridevi.php	dpboss.boston/panel-chart-record/sridevi.html	(from https://dpboss.boston/)
02:10:45	46810/46810	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:45%20GMT	https://dpboss.boston/jodi-chart-record/main-bazar-morning.php	dpboss.boston/jodi-chart-record/main-bazar-morning.html	(from https://dpboss.boston/)
02:10:46	138549/138549	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:46%20GMT	https://dpboss.boston/panel-chart-record/main-bazar-morning.php	dpboss.boston/panel-chart-record/main-bazar-morning.html	(from https://dpboss.boston/)
02:10:47	105353/105353	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:47%20GMT	https://dpboss.boston/jodi-chart-record/madhuri.php	dpboss.boston/jodi-chart-record/madhuri.html	(from https://dpboss.boston/)
02:10:48	281594/281594	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:48%20GMT	https://dpboss.boston/panel-chart-record/madhuri.php	dpboss.boston/panel-chart-record/madhuri.html	(from https://dpboss.boston/)
02:10:49	66908/66908	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:49%20GMT	https://dpboss.boston/jodi-chart-record/padmavathi.php	dpboss.boston/jodi-chart-record/padmavathi.html	(from https://dpboss.boston/)
02:10:50	228866/228866	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:50%20GMT	https://dpboss.boston/panel-chart-record/padmavathi.php	dpboss.boston/panel-chart-record/padmavathi.html	(from https://dpboss.boston/)
02:10:50	38516/38516	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:51%20GMT	https://dpboss.boston/jodi-chart-record/rajdhani-morning-main.php	dpboss.boston/jodi-chart-record/rajdhani-morning-main.html	(from https://dpboss.boston/)
02:10:52	102195/102195	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:52%20GMT	https://dpboss.boston/panel-chart-record/rajdhani-morning-main.php	dpboss.boston/panel-chart-record/rajdhani-morning-main.html	(from https://dpboss.boston/)
02:10:52	59982/59982	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:53%20GMT	https://dpboss.boston/jodi-chart-record/sridevi-morning.php	dpboss.boston/jodi-chart-record/sridevi-morning.html	(from https://dpboss.boston/)
02:10:54	180145/180145	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:54%20GMT	https://dpboss.boston/panel-chart-record/sridevi-morning.php	dpboss.boston/panel-chart-record/sridevi-morning.html	(from https://dpboss.boston/)
02:10:54	55341/55341	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:55%20GMT	https://dpboss.boston/jodi-chart-record/maharani.php	dpboss.boston/jodi-chart-record/maharani.html	(from https://dpboss.boston/)
02:10:56	180298/180298	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:40:56%20GMT	https://dpboss.boston/panel-chart-record/maharani.php	dpboss.boston/panel-chart-record/maharani.html	(from https://dpboss.boston/)
